Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PAtt,PYds,PTD,Int,RAtt,RYds,RYA,RTD,Tgt,Rec,RecYds,RecY/R,RecTD,Fmb,FL,TD,2PM,2PP,PPR
1,Dalvin Cook\CookDa01,MIN,RB,25,7,7,0,0,0,0,0,144,858,5.96,12,21,16,173,10.81,1,1,1,13,3,,201.1
2,Patrick Mahomes\MahoPa00,KAN,QB,25,9,9,220,329,2687,25,1,35,171,4.89,2,0,0,0,,0,1,0,2,,2,238.6
3,Alvin Kamara\KamaAl00,NOR,RB,25,8,6,0,0,0,0,0,96,471,4.91,5,72,60,565,9.42,3,1,0,8,,,211.6
4,Kyler Murray\MurrKy00,ARI,QB,23,8,8,190,279,2130,16,7,76,543,7.14,8,0,0,0,,0,4,2,8,,,233.5
5,Russell Wilson\WilsRu00,SEA,QB,32,8,8,211,297,2541,28,8,37,265,7.16,1,0,0,0,,0,3,2,1,,1,228.1
6,Derrick Henry\HenrDe00,TEN,RB,26,8,8,0,0,0,0,0,182,843,4.63,8,18,10,81,8.1,0,0,0,8,,,150.4
7,Tyreek Hill\HillTy00,KAN,WR,26,9,9,0,0,0,0,0,8,62,7.75,1,72,44,650,14.77,9,1,0,10,,,175.2
8,Travis Kelce\KelcTr00,KAN,TE,31,9,9,0,0,0,0,0,0,0,,0,80,58,769,13.26,6,1,1,6,,,168.9
9,D.K. Metcalf\MetcDK00,SEA,WR,23,8,8,0,0,0,0,0,0,0,,0,68,43,788,18.33,8,1,1,8,,,167.8
10,Josh Allen\AlleJo02,BUF,QB,24,9,9,217,315,2587,19,5,65,241,3.71,5,0,0,0,,0,4,4,5,,,215.6
11,James Robinson\RobiJa00,JAX,RB,22,8,8,0,0,0,0,0,132,580,4.39,5,34,27,225,8.33,2,2,1,7,1,,149.5
12,Davante Adams\AdamDa01,GNB,WR,28,6,6,0,0,0,0,0,0,0,,0,69,53,675,12.74,8,0,0,8,,,168.5
13,Todd Gurley\GurlTo01,ATL,RB,26,9,9,0,0,0,0,0,159,584,3.67,9,22,15,79,5.27,0,2,0,9,,,135.3
14,Ezekiel Elliott\ElliEz00,DAL,RB,25,9,9,0,0,0,0,0,150,572,3.81,5,49,36,238,6.61,1,5,4,6,1,,147
15,Calvin Ridley\RidlCa00,ATL,WR,26,8,8,0,0,0,0,0,3,14,4.67,0,68,43,657,15.28,6,0,0,6,1,,148.1
16,Tyler Lockett\LockTy00,SEA,WR,28,8,8,0,0,0,0,0,0,0,,0,70,53,615,11.6,7,0,0,7,,,156.5
17,Kareem Hunt\HuntKa00,CLE,RB,25,8,4,0,0,0,0,0,115,529,4.6,3,25,18,113,6.28,4,1,0,7,,,124.2
18,Josh Jacobs\JacoJo01,LVR,RB,22,8,8,0,0,0,0,0,161,588,3.65,6,26,19,125,6.58,0,1,1,6,,,124.3
19,Stefon Diggs\DiggSt00,BUF,WR,27,9,9,0,0,0,0,0,0,0,,0,91,63,813,12.9,3,0,0,3,,,162.3
20,Aaron Jones\JoneAa00,GNB,RB,26,6,6,0,0,0,0,0,90,447,4.97,5,33,23,182,7.91,2,1,0,7,,,127.9
21,Will Fuller\FullWi01,HOU,WR,26,8,8,0,0,0,0,0,1,0,0,0,52,36,590,16.39,6,0,0,6,,,131
22,Aaron Rodgers\RodgAa00,GNB,QB,37,8,8,189,280,2253,24,2,11,61,5.55,0,1,1,-6,-6,0,1,1,0,,,186.6
23,Adam Thielen\ThieAd00,MIN,WR,30,8,8,0,0,0,0,0,3,15,5,0,58,37,480,12.97,7,0,0,7,1,,130.5
24,Clyde Edwards-Helaire\EdwaCl00,KAN,RB,21,9,9,0,0,0,0,0,126,586,4.65,2,43,28,224,8,1,0,0,3,,,127
25,DeAndre Hopkins\HopkDe00,ARI,WR,28,8,8,0,0,0,0,0,0,0,,0,76,60,734,12.23,3,1,1,3,,,149.4
26,Allen Robinson\RobiAl02,CHI,WR,27,9,9,0,0,0,0,0,1,-1,-1,0,86,57,712,12.49,3,0,0,3,,,146.1
27,James Conner\ConnJa00,PIT,RB,25,8,7,0,0,0,0,0,119,520,4.37,5,25,20,123,6.15,0,1,0,5,,,114.3
28,Robert Woods\WoodRo02,LAR,WR,28,8,8,0,0,0,0,0,16,108,6.75,2,54,37,436,11.78,4,2,1,6,,,125.4
29,Deshaun Watson\WatsDe00,HOU,QB,25,8,8,185,271,2376,17,5,40,197,4.93,1,0,0,0,,0,3,0,1,,,178.7
30,Terry McLaurin\McLaTe00,WAS,WR,25,8,8,0,0,0,0,0,1,3,3,0,77,50,692,13.84,3,0,0,3,,,137.5
31,Keenan Allen\AlleKe00,LAC,WR,28,8,7,0,1,0,0,0,0,0,,0,86,62,651,10.5,4,2,1,4,,,149.1
32,Chase Claypool\ClayCh01,PIT,WR,22,8,2,0,0,0,0,0,7,25,3.57,2,47,31,444,14.32,5,3,1,7,,,117.9
33,T.J. Hockenson\HockTJ00,DET,TE,23,8,8,0,0,0,0,0,0,0,,0,49,34,360,10.59,5,0,0,5,1,,102
34,Mike Evans\EvanMi00,TAM,WR,27,9,9,0,0,0,0,0,0,0,,0,52,34,437,12.85,7,0,0,7,,,119.7
35,Jonnu Smith\SmitJo01,TEN,TE,25,8,8,0,0,0,0,0,0,0,,0,37,24,304,12.67,6,0,0,6,,,90.4
36,Justin Jefferson\JeffJu00,MIN,WR,21,8,6,0,0,0,0,0,0,0,,0,44,34,627,18.44,3,0,0,3,1,,116.7
37,D.J. Moore\MoorD.00,CAR,WR,23,9,9,0,0,0,0,0,0,0,,0,62,35,640,18.29,3,0,0,3,,,117
38,Ronald Jones II\JoneRo01,TAM,RB,23,9,9,0,0,0,0,0,120,538,4.48,4,35,25,118,4.72,0,1,1,4,,,112.6
39,Julio Jones\JoneJu02,ATL,WR,31,7,7,0,0,0,0,0,0,0,,0,56,43,638,14.84,3,0,0,3,,,124.8
40,Matt Ryan\RyanMa00,ATL,QB,35,9,9,236,351,2746,15,5,22,68,3.09,1,0,0,0,,0,2,1,1,,1,172.6
41,A.J. Brown\BrowAJ00,TEN,WR,23,6,5,0,0,0,0,0,0,0,,0,48,31,457,14.74,6,0,0,6,,,112.7
42,Tom Brady\BradTo00,TAM,QB,43,9,9,226,346,2398,20,7,17,6,0.35,2,0,0,0,,0,4,1,2,,,172.5
43,Robby Anderson\AndeRo04,CAR,WR,27,9,9,0,0,0,0,0,1,3,3,0,80,60,751,12.52,1,1,1,1,1,,141.4
44,Tyler Boyd\BoydTy00,CIN,WR,26,8,5,1,1,16,0,0,4,38,9.5,0,68,54,584,10.81,3,1,0,3,,,134.8
45,Amari Cooper\CoopAm00,DAL,WR,26,9,8,0,0,0,0,0,3,11,3.67,0,83,59,655,11.1,2,0,0,2,1,,139.6
