"player_name","fant_pos","g.x","r_att","r_yds","rya","rtd","tgt","rec","rec_yds","rec_y_r","rec_td","fmb","fl","td","ppr","pos","ybc","yac","brk_tkl"
"Dalvin Cook","RB",7,144,858,5.96,12,21,16,173,10.81,1,1,1,13,201.1,"rb",402,456,19
"Alvin Kamara","RB",8,96,471,4.91,5,72,60,565,9.42,3,1,0,8,211.6,"rb",283,188,10
"Derrick Henry","RB",8,182,843,4.63,8,18,10,81,8.1,0,0,0,8,150.4,"rb",341,502,17
"James Robinson","RB",8,132,580,4.39,5,34,27,225,8.33,2,2,1,7,149.5,"rb",253,327,10
"Todd Gurley","RB",9,159,584,3.67,9,22,15,79,5.27,0,2,0,9,135.3,"rb",276,308,16
"Ezekiel Elliott","RB",9,150,572,3.81,5,49,36,238,6.61,1,5,4,6,147,"rb",277,295,11
"Kareem Hunt","RB",8,115,529,4.6,3,25,18,113,6.28,4,1,0,7,124.2,"rb",208,321,7
"Josh Jacobs","RB",8,161,588,3.65,6,26,19,125,6.58,0,1,1,6,124.3,"rb",288,300,14
"Aaron Jones","RB",6,90,447,4.97,5,33,23,182,7.91,2,1,0,7,127.9,"rb",206,241,8
"Clyde Edwards-Helaire","RB",9,126,586,4.65,2,43,28,224,8,1,0,0,3,127,"rb",295,291,14
"James Conner","RB",8,119,520,4.37,5,25,20,123,6.15,0,1,0,5,114.3,"rb",287,233,10
"Ronald Jones II","RB",9,120,538,4.48,4,35,25,118,4.72,0,1,1,4,112.6,"rb",215,323,7
"Mike Davis","RB",9,85,353,4.15,2,49,43,278,6.47,2,1,1,4,128.1,"rb",98,255,14
"Antonio Gibson","RB",8,90,391,4.34,5,26,22,182,8.27,0,2,2,5,105.3,"rb",205,186,14
"Chris Carson","RB",6,66,323,4.89,3,25,22,147,6.68,3,1,0,6,105,"rb",164,159,5
"Darrell Henderson","RB",8,95,458,4.82,3,15,10,120,12,1,0,0,4,91.8,"rb",232,226,7
"Jonathan Taylor","RB",8,106,416,3.92,4,21,20,178,8.9,0,1,1,4,101.4,"rb",265,151,2
"David Montgomery","RB",9,131,472,3.6,1,41,30,212,7.07,1,1,1,2,110.4,"rb",147,325,18
"Jerick McKinnon","RB",9,59,261,4.42,5,33,24,173,7.21,1,0,0,6,103.4,"rb",159,102,3
"David Johnson","RB",8,103,408,3.96,3,25,16,161,10.06,1,1,1,4,94.9,"rb",228,180,4
"Joe Mixon","RB",6,119,428,3.6,3,26,21,138,6.57,1,1,1,4,99.6,"rb",226,202,3
"Kenyan Drake","RB",7,119,512,4.3,4,10,7,29,4.14,0,0,0,4,85.1,"rb",368,144,8
"D'Andre Swift","RB",8,54,250,4.63,4,34,26,207,7.96,1,1,0,5,101.7,NA,166,84,4
"Christian McCaffrey","RB",3,59,225,3.81,5,19,17,149,8.76,1,0,0,6,90.4,"rb",97,128,9
"Melvin Gordon","RB",7,96,393,4.09,4,27,20,87,4.35,1,3,3,5,92,"rb",190,203,7
"Myles Gaskin","RB",7,100,387,3.87,2,35,30,198,6.6,0,1,1,2,98.5,"rb",181,206,5
"Miles Sanders","RB",5,71,434,6.11,3,25,12,91,7.58,0,2,1,3,80.5,"rb",301,133,4
"Chase Edmonds","RB",8,54,246,4.56,1,35,29,240,8.28,2,2,0,3,95.6,"rb",167,79,3
"Devin Singletary","RB",9,95,386,4.06,1,33,24,192,8,0,0,0,1,87.8,"rb",118,268,5
"Rex Burkhead","RB",8,57,236,4.14,3,25,19,152,8,1,0,0,4,81.8,NA,155,81,5
"Jamaal Williams","RB",7,68,294,4.32,1,25,23,183,7.96,0,0,0,1,80.7,"rb",157,137,3
"Giovani Bernard","RB",8,40,143,3.58,2,29,24,190,7.92,2,0,0,4,81.3,"rb",69,74,3
"Malcolm Brown","RB",8,75,314,4.19,3,21,14,79,5.64,0,0,0,3,71.3,NA,200,114,7
"Nick Chubb","RB",4,57,335,5.88,4,3,3,17,5.67,0,1,1,4,60.2,"rb",141,194,7
"Nyheim Hines","RB",8,33,107,3.24,1,35,28,220,7.86,3,0,0,4,84.7,NA,70,37,2
"Raheem Mostert","RB",4,51,303,5.94,1,12,11,150,13.64,1,0,0,2,68.3,"rb",229,74,1
"Latavius Murray","RB",8,81,321,3.96,2,14,12,94,7.83,0,0,0,2,65.5,"rb",158,163,3
"Adrian Peterson","RB",8,93,350,3.76,2,14,10,69,6.9,0,0,0,2,63.9,"rb",240,110,4
"Jeff Wilson","RB",6,38,163,4.29,4,7,6,75,12.5,1,0,0,5,59.8,"rb",93,70,3
"Zack Moss","RB",6,52,204,3.92,3,10,8,71,8.88,1,0,0,4,59.5,NA,99,105,8
"J.K. Dobbins","RB",8,52,297,5.71,2,18,14,87,6.21,0,0,0,2,64.4,NA,161,136,3
